"","tribe_collapsed","tribe_label","total_weighted_count"
"1","Unspecified","All other specified American Indian tribe combinations",184
"2","Unspecified","American Indian and Alaska Native, not specified",2755
"3","Unspecified","American Indian and Alaska Native, tribe not elsewhere classified",819
"4","Unspecified","American Indian, tribe not elsewhere classified",519
"5","Unspecified","American Indian, tribe not specified",752
"6","Apache","Apache",456
"7","Cherokee","Cherokee",37
"8","Chippewa","Chippewa",73
"9","Eskimo","Eskimo",152
"10","Iroquois","Iroquois",49
"11","Latin American","Latin American",9092
"12","Navajo","Navajo",591
"13","Sioux","Sioux",23
"14","Yaqui","Yaqui",148
