"","year","county","state_county","mexican","total_pop","total_his"
"1","1980","Cook County","17031",310428,5253655,499322
"2","1980","DuPage County","17043",11478,658835,17302
"3","1980","Kane County","17089",19888,278405,26118
"4","1980","Lake County","17097",13657,440372,21064
"5","1980","McHenry County","17111",2403,147897,3025
"6","1980","Will County","17197",11127,324460,13778
"7","1980","Chicago","17031",255791,3004681,422051
"8","1990","Cook County","17031",465765,5105067,694194
"9","1990","DuPage County","17043",24703,781666,34567
"10","1990","Kane County","17089",35583,317471,43535
"11","1990","Lake County","17097",27226,516418,38570
"12","1990","McHenry County","17111",4988,183241,6066
"13","1990","Will County","17197",16582,357313,19973
"14","1990","Chicago","17031",352543,2783377,545829
"15","2000","Cook County","17031",786423,5376741,1071740
"16","2000","DuPage County","17043",63135,904161,81366
"17","2000","Kane County","17089",80870,404119,95924
"18","2000","Lake County","17097",71153,644356,92716
"19","2000","McHenry County","17111",15881,260077,19602
"20","2000","Will County","17197",35416,502266,43768
"21","2000","Chicago","17031",530452,2895642,753616
"22","2010","Cook County","17031",961963,5194675,1244762
"23","2010","DuPage County","17043",96039,916924,121506
"24","2010","Kane County","17089",139009,515269,158390
"25","2010","Lake County","17097",111952,703462,139987
"26","2010","McHenry County","17111",28796,308760,35249
"27","2010","Will County","17197",90355,677560,105817
"28","2010","Chicago","17031",577894,2686766,778353
"29","2018-2022","Cook County","17031",1034038,5225367,1352482
"30","2018-2022","DuPage County","17043",103194,930559,137806
"31","2018-2022","Kane County","17089",140614,517254,168609
"32","2018-2022","Lake County","17097",127212,713159,162456
"33","2018-2022","McHenry County","17111",34279,311133,44625
"34","2018-2022","Will County","17197",108834,696774,129687
"35","2018-2022","Chicago","17031",581376,2710105,787050
