"","puma","tribe_label","count","percent"
"1",3109,"American Indian and Alaska Native, not specified",8,0.0445955738892915
"2",3109,"Apache",1,0.00557444673616144
"3",3109,"Iroquois",1,0.00557444673616144
"4",3109,"Latin American",5,0.0278722336808072
"5",3109,"Unknown or not applicable",194,1.08144266681532
"6",3114,"Latin American",8,0.0445955738892915
"7",3114,"Unknown or not applicable",246,1.37131389709571
"8",3151,"Latin American",8,0.0445955738892915
"9",3151,"Unknown or not applicable",104,0.579742460560789
"10",3152,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"11",3152,"Latin American",5,0.0278722336808072
"12",3152,"Unknown or not applicable",105,0.585316907296951
"13",3153,"Latin American",6,0.0334466804169686
"14",3153,"Unknown or not applicable",69,0.384636824795139
"15",3154,"American Indian and Alaska Native, not specified",1,0.00557444673616144
"16",3154,"Latin American",1,0.00557444673616144
"17",3154,"Unknown or not applicable",59,0.328892357433525
"18",3155,"American Indian and Alaska Native, not specified",2,0.0111488934723229
"19",3155,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"20",3155,"Iroquois",1,0.00557444673616144
"21",3155,"Latin American",1,0.00557444673616144
"22",3155,"Unknown or not applicable",244,1.36016500362339
"23",3156,"American Indian and Alaska Native, tribe not elsewhere classified",1,0.00557444673616144
"24",3156,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"25",3156,"Latin American",12,0.0668933608339372
"26",3156,"Unknown or not applicable",220,1.22637828195552
"27",3157,"Latin American",12,0.0668933608339372
"28",3157,"Unknown or not applicable",331,1.84514186966944
"29",3158,"Latin American",4,0.0222977869446457
"30",3158,"Unknown or not applicable",103,0.574168013824628
"31",3159,"Latin American",1,0.00557444673616144
"32",3159,"Unknown or not applicable",78,0.434806845420592
"33",3160,"Latin American",1,0.00557444673616144
"34",3160,"Unknown or not applicable",31,0.172807848821005
"35",3161,"Unknown or not applicable",27,0.150510061876359
"36",3162,"American Indian and Alaska Native, not specified",4,0.0222977869446457
"37",3162,"American Indian, tribe not elsewhere classified",6,0.0334466804169686
"38",3162,"Latin American",2,0.0111488934723229
"39",3162,"Unknown or not applicable",281,1.56641953286136
"40",3162,"Yaqui",1,0.00557444673616144
"41",3163,"American Indian and Alaska Native, not specified",8,0.0445955738892915
"42",3163,"American Indian, tribe not specified",1,0.00557444673616144
"43",3163,"Latin American",12,0.0668933608339372
"44",3163,"Unknown or not applicable",555,3.0938179385696
"45",3164,"American Indian and Alaska Native, not specified",6,0.0334466804169686
"46",3164,"American Indian and Alaska Native, tribe not elsewhere classified",1,0.00557444673616144
"47",3164,"Apache",2,0.0111488934723229
"48",3164,"Latin American",29,0.161658955348682
"49",3164,"Unknown or not applicable",541,3.01577568426334
"50",3164,"Yaqui",1,0.00557444673616144
"51",3165,"Latin American",6,0.0334466804169686
"52",3165,"Unknown or not applicable",163,0.908634817994314
"53",3165,"Yaqui",2,0.0111488934723229
"54",3166,"Latin American",1,0.00557444673616144
"55",3166,"Unknown or not applicable",27,0.150510061876359
"56",3167,"Latin American",1,0.00557444673616144
"57",3167,"Unknown or not applicable",36,0.200680082501812
"58",3168,"Latin American",16,0.089191147778583
"59",3168,"Unknown or not applicable",218,1.21522938848319
"60",3501,"American Indian and Alaska Native, not specified",2,0.0111488934723229
"61",3501,"American Indian and Alaska Native, tribe not elsewhere classified",1,0.00557444673616144
"62",3501,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"63",3501,"American Indian, tribe not specified",1,0.00557444673616144
"64",3501,"Latin American",7,0.0390211271531301
"65",3501,"Unknown or not applicable",344,1.91760967723953
"66",3502,"American Indian, tribe not specified",1,0.00557444673616144
"67",3502,"Unknown or not applicable",209,1.16505936785774
"68",3503,"American Indian and Alaska Native, not specified",4,0.0222977869446457
"69",3503,"Latin American",9,0.0501700206254529
"70",3503,"Unknown or not applicable",391,2.17960867383912
"71",3504,"American Indian and Alaska Native, not specified",2,0.0111488934723229
"72",3504,"American Indian and Alaska Native, tribe not elsewhere classified",2,0.0111488934723229
"73",3504,"American Indian, tribe not elsewhere classified",3,0.0167233402084843
"74",3504,"Apache",6,0.0334466804169686
"75",3504,"Latin American",18,0.100340041250906
"76",3504,"Navajo",1,0.00557444673616144
"77",3504,"Unknown or not applicable",739,4.1195161380233
"78",3520,"American Indian and Alaska Native, not specified",2,0.0111488934723229
"79",3520,"American Indian and Alaska Native, tribe not elsewhere classified",6,0.0334466804169686
"80",3520,"Apache",6,0.0334466804169686
"81",3520,"Iroquois",1,0.00557444673616144
"82",3520,"Latin American",14,0.0780422543062601
"83",3520,"Unknown or not applicable",728,4.05819722392553
"84",3521,"American Indian and Alaska Native, not specified",5,0.0278722336808072
"85",3521,"American Indian and Alaska Native, tribe not elsewhere classified",8,0.0445955738892915
"86",3521,"Latin American",14,0.0780422543062601
"87",3521,"Unknown or not applicable",1349,7.51992864708178
"88",3522,"American Indian and Alaska Native, not specified",15,0.0836167010424215
"89",3522,"American Indian and Alaska Native, tribe not elsewhere classified",4,0.0222977869446457
"90",3522,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"91",3522,"American Indian, tribe not specified",4,0.0222977869446457
"92",3522,"Chippewa",4,0.0222977869446457
"93",3522,"Eskimo",1,0.00557444673616144
"94",3522,"Latin American",12,0.0668933608339372
"95",3522,"Unknown or not applicable",1181,6.58342159540666
"96",3523,"American Indian and Alaska Native, not specified",3,0.0167233402084843
"97",3523,"American Indian and Alaska Native, tribe not elsewhere classified",4,0.0222977869446457
"98",3523,"American Indian, tribe not specified",3,0.0167233402084843
"99",3523,"Eskimo",3,0.0167233402084843
"100",3523,"Latin American",16,0.089191147778583
"101",3523,"Unknown or not applicable",1493,8.32264897708902
"102",3524,"American Indian and Alaska Native, not specified",8,0.0445955738892915
"103",3524,"American Indian and Alaska Native, tribe not elsewhere classified",1,0.00557444673616144
"104",3524,"American Indian, tribe not elsewhere classified",2,0.0111488934723229
"105",3524,"American Indian, tribe not specified",1,0.00557444673616144
"106",3524,"Cherokee",1,0.00557444673616144
"107",3524,"Latin American",23,0.128212274931713
"108",3524,"Unknown or not applicable",957,5.33474552650649
"109",3525,"American Indian and Alaska Native, not specified",1,0.00557444673616144
"110",3525,"Unknown or not applicable",106,0.590891354033112
"111",3526,"American Indian and Alaska Native, not specified",6,0.0334466804169686
"112",3526,"American Indian and Alaska Native, tribe not elsewhere classified",4,0.0222977869446457
"113",3526,"American Indian, tribe not specified",12,0.0668933608339372
"114",3526,"Eskimo",1,0.00557444673616144
"115",3526,"Latin American",48,0.267573443335749
"116",3526,"Unknown or not applicable",1789,9.97268521099281
"117",3527,"American Indian and Alaska Native, not specified",7,0.0390211271531301
"118",3527,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"119",3527,"American Indian, tribe not specified",5,0.0278722336808072
"120",3527,"Latin American",64,0.356764591114332
"121",3527,"Unknown or not applicable",2095,11.6784659122582
"122",3528,"American Indian and Alaska Native, not specified",4,0.0222977869446457
"123",3528,"American Indian and Alaska Native, tribe not elsewhere classified",6,0.0334466804169686
"124",3528,"Latin American",25,0.139361168404036
"125",3528,"Navajo",5,0.0278722336808072
"126",3528,"Sioux",2,0.0111488934723229
"127",3528,"Unknown or not applicable",676,3.76832599364513
"128",3529,"American Indian and Alaska Native, not specified",3,0.0167233402084843
"129",3529,"American Indian, tribe not specified",1,0.00557444673616144
"130",3529,"Latin American",9,0.0501700206254529
"131",3529,"Unknown or not applicable",134,0.746975862645632
"132",3530,"All other specified American Indian tribe combinations",3,0.0167233402084843
"133",3530,"American Indian and Alaska Native, not specified",2,0.0111488934723229
"134",3530,"American Indian, tribe not elsewhere classified",3,0.0167233402084843
"135",3530,"Latin American",9,0.0501700206254529
"136",3530,"Unknown or not applicable",524,2.92101008974859
"137",3531,"Unknown or not applicable",32,0.178382295557166
"138",3532,"American Indian and Alaska Native, not specified",1,0.00557444673616144
"139",3532,"American Indian, tribe not elsewhere classified",1,0.00557444673616144
"140",3532,"American Indian, tribe not specified",4,0.0222977869446457
"141",3532,"Cherokee",1,0.00557444673616144
"142",3532,"Latin American",11,0.0613189140977758
"143",3532,"Unknown or not applicable",920,5.12849099726852
